exerciseId,name,equipments,bodyParts,exerciseType,targetMuscles,secondaryMuscles,imageUrl
exr_41n2hxnFMotsXTj3,Bench Press,Barbell,Chest,strength,Pectoralis Major Clavicular Head,Deltoid Anterior; Pectoralis Major Clavicular Head; Triceps Brachii,https://blog.adobe.com/fr/topics/media_1ca79b205381242c5f8beaaee2f0e1cfb2aa8f324.png?width=750&format=png&optimize=medium
exr_41n2haAabPyN5t8y,Side Lunge,BODY WEIGHT,QUADRICEPS; THIGHS,STRENGTH,GLUTEUS MAXIMUS; QUADRICEPS,ADDUCTOR MAGNUS; GLUTEUS MEDIUS;SOLEUS; TENSOR FASCIAE LATAE,https://cdn.exercisedb.dev/media/w/images/RB7NBcf79I.jpg
